w_people,w_speed,bereikte_mensen,bereik_pct,gedekte_postcodes,gem_resp_tijd_sec,bases
0.7,0.3,745000,91.99,181,520.0,"7317, 7007, 3843, 7231, 7141"
0.75,0.25,745000,91.99,181,520.0,"7317, 7007, 3843, 7231, 7141"
0.8,0.2,745000,91.99,181,520.0,"7317, 7007, 3843, 7231, 7141"
0.65,0.35,743190,91.77,180,507.53,"7317, 7007, 3843, 7203, 7141"
0.85,0.15,743150,91.76,179,538.13,"7317, 7054, 3843, 7204, 7141"
0.9,0.1,743150,91.76,179,538.13,"7317, 7054, 3843, 7204, 7141"
0.95,0.05,743150,91.76,179,538.13,"7317, 7054, 3843, 7204, 7141"
1.0,0.0,738465,91.18,173,564.3,"7341, 7054, 3843, 7251, 7141"
0.45,0.55,714400,88.21,174,497.08,"7335, 7075, 3843, 7207, 7141"
0.6,0.4,708505,87.48,173,497.83,"7335, 7007, 3843, 7203, 7141"
0.35,0.65,686550,84.77,170,478.18,"7335, 3843, 7075, 7207, 7119"
0.4,0.6,686550,84.77,170,478.18,"7335, 3843, 7075, 7207, 7119"
0.25,0.75,671260,82.89,166,471.68,"7335, 3843, 7075, 7109, 7207"
0.3,0.7,671260,82.89,166,471.68,"7335, 3843, 7075, 7109, 7207"
0.2,0.8,667000,82.36,166,470.75,"7335, 3843, 7075, 7109, 7204"
0.5,0.5,611550,75.51,147,383.8,"7335, 7007, 3843, 7203, 7225"
0.55,0.45,611550,75.51,147,383.8,"7335, 7007, 3843, 7203, 7225"
0.15,0.85,585235,72.26,139,458.52,"7335, 3843, 8079, 7075, 7109"
0.05,0.95,409875,50.61,83,441.11,"7335, 3843, 8079, 8191, 7396"
0.1,0.9,409875,50.61,83,441.11,"7335, 3843, 8079, 8191, 7396"
0.0,1.0,409875,50.61,83,442.73,"3843, 8079, 8191, 7335, 7396"
